"COUN_NAME","MPO","TAZ","L_D_RE_Ar","M_D_RE_SF_Ar","M_D_RE_MF_Ar","H_D_RE_Ar","MU_Ar","COM_Ar","INS_Ar","OF_Ar","IND_Ar","Other_Ar","AG_Ar","FO_Ar","PA_Ar","LDHH","MDSFHH","MDMFHH","HDHH","MUHH","TSFHH","TMFHH","COM_EMP","INS_EMP","OF_EMP","IND_EMP","Other_EMP","AG_EMP","MU_EMP","JUR","HH","TOT_EMP","res_total_Ar","Parcel_ACR_Ar","TAZ_ACRES_Ar","T_EMP_AR_Ar","TOT_POP"
"Henrico","Richmond",428,322.3543,0,0,0,0,1.6163,0,0,0,0,0,62.99013633,0,255,0,0,0,0,255,0,16,0,0,0,0,0,0,"Henrico",255,16,322.3543,381.3207,461.7171,1.6163,634
"Henrico","Richmond",429,375.531,0,0,0,0,1.4783458707703,5.30587620524613,0,96.3225779269836,0,0,415.5892455,0,376,0,0,0,0,376,0,2,8,0,141,0,0,0,"Henrico",376,151,375.531,886.8271,907.5422,103.106800003,938
"Henrico","Richmond",430,1484.30730124243,2.32419912357153,0,0,0,0,34.1820992693441,3.86350173647345,125.309999009182,0,0,856.4400058,0.201150102,841,1,0,0,0,842,0,0,32,4,117,0,0,0,"Henrico",842,152,1486.631500366,2491.7083,2542.026,163.355600015,2092
"Henrico","Richmond",431,2041.67630463176,1.02689506223995,0,0,0,0.744868166494066,67.3646318335059,0,0,0,0,1500.346741,76.14414366,834,0,0,0,0,834,0,1,81,0,0,0,0,0,"Henrico",834,82,2042.703199694,3673.8836,3800.1782,68.1095,2081
"Henrico","Richmond",437,596.549,0,0,0,0,5.80273565475169,0,0,59.2376643472483,0,0,349.3199801,0,450,0,0,0,0,450,0,4,0,0,42,0,0,0,"Henrico",450,46,596.549,1006.3494,1020.9174,65.040400002,1119
"Henrico","Richmond",441,584.5151,0,0,0,0,83.9390382739539,0,0,179.644161696046,0,0,2452.417421,85.29515332,152,0,0,0,0,152,0,85,0,0,181,0,0,0,"Henrico",152,266,584.5151,3381.5508,3827.2399,263.58319997,379
"Henrico","Richmond",442,4724.4515,0,0,0,0,0,0,0,1.1786,0,0,58.77880056,36.92454158,59,0,0,0,0,59,0,0,0,0,11,0,0,0,"Henrico",59,11,4724.4515,4819.5034,6017.0527,1.1786,147
"Henrico","Richmond",443,1612.066,0,0,0,0,2.5759,0,0,0,0,0,1474.646087,0,72,0,0,0,0,72,0,14,0,0,0,0,0,0,"Henrico",72,14,1612.066,3086.798,3120.9104,2.5759,180
"Charles City","Richmond",465,1136.2034,0,0,0,0,114.83382517225,359.427643303896,0,480.091235430049,0,693.749196193806,4718.623881,0,259,0,0,0,0,259,0,94,293,0,391,0,565,0,"Charles City",259,1342,1136.2034,7495.8947,7622.1697,1648.1019001,642
"Charles City","Richmond",466,1049.0286,0,0,0,0,5.02100619926942,45.1770529050026,0,637.997766576982,0,560.604674348746,7464.537368,0,375,0,0,0,0,375,0,0,2,0,31,0,27,0,"Charles City",375,60,1049.0286,9762.0651,9884.2056,1248.80050003,931
"Charles City","Richmond",467,876.0054,0,0,0,0,34.6112069237986,109.51308596799,0,0,0,2262.00580704821,6124.533986,0,232,0,0,0,0,232,0,2,7,0,0,0,151,0,"Charles City",232,161,876.0054,9406.601,9512.2859,2406.13009994,576
"Charles City","Richmond",468,376.6944,0,0,0,0,15.3233707732375,57.3812628970691,0,0,0,1554.76776679969,2829.353263,0,145,0,0,0,0,145,0,0,1,0,0,0,34,0,"Charles City",145,36,376.6944,4833.4697,4894.7693,1627.47240047,360
